,date,OT
0,0,94.8
1,1,96.93
2,2,97.71
3,3,90.09
4,4,90.74
5,5,89.84
6,6,89.12
7,7,93.68
8,8,92.7
9,9,92.61
10,10,84.13
11,11,72.44
12,12,92.02
13,13,92.22
14,14,90.88
15,15,89.21
16,16,88.49
17,17,88.48
18,18,88.05
19,19,87.69
20,20,86.08
21,21,85.81
22,22,87.08
23,23,86.62
24,24,86.74
25,25,86.93
26,26,88.34
27,27,88.11
28,28,88.02
29,29,88.44
30,30,89.31
31,31,88.4
32,32,87.98
33,33,87.46
34,34,86.59
35,35,84.97
36,36,84.875
37,37,85.31
38,38,84.84
39,39,85.19
40,40,85.49
41,41,86.46
42,42,85.3849999999999
43,43,84.475
44,44,84.17
45,45,84.01
46,46,83.85
47,47,84.515
48,48,86.74
49,49,85.29
50,50,84.865
51,51,84.93
52,52,85.68
53,53,85.96
54,54,84.45
55,55,84.2
56,56,76.67
57,57,84.055
58,58,82.47
59,59,68.115
60,60,62.9899999999999
61,61,56.61
62,62,50.86
63,63,68.39750000000001
64,64,85.935
65,65,86.96
66,66,87.98
67,67,87.85
68,68,87.68
69,69,88.96
70,70,88.78
71,71,88.18
72,72,88.01
73,73,88.15
74,74,87.99
75,75,88.215
76,76,83.3
77,77,83.85
78,78,84.93
79,79,83.45
80,80,83.33
81,81,82.87
82,82,83.8
83,83,88.67
84,84,95.45
85,85,98.69
86,86,100.69
87,87,98.29
88,88,95.9
89,89,96.04
90,90,94.07
91,91,91.225
92,92,89.17
93,93,90.99
94,94,88.455
95,95,88.54
96,96,87.94
97,97,84.91
98,98,87.29
99,99,84.16
100,100,85.81
101,101,86.2299999999999
102,102,84.72
103,103,72.18
104,104,59.64
105,105,79.05
106,106,69.4325
107,107,59.815
108,108,60.06
109,109,60.3
110,110,60.545
111,111,59.93
112,112,59.84
113,113,58.785
114,114,59.0199999999999
115,115,59.67
116,116,58.24
117,117,58.76
118,118,59.6449999999999
119,119,60.49
120,120,89.65
121,121,88.09
122,122,88.48
123,123,88.18
124,124,85.1
125,125,86.33
126,126,86.94
127,127,86.95
128,128,84.495
129,129,86.4
130,130,86.73
131,131,85.66
132,132,87.56
133,133,85.5
134,134,87.18
135,135,88.69
136,136,89.98
137,137,90.01
138,138,86.55
139,139,87.23
140,140,87.09
141,141,86.55
142,142,88.27
143,143,88.57
144,144,87.52
145,145,88.17
146,146,85.08
147,147,87.35
148,148,83.55
149,149,87.41
150,150,83.75
151,151,84.8549999999999
152,152,86.08
153,153,82.94
154,154,85.88
155,155,82.43
156,156,82.52
157,157,83.2
158,158,82.43
159,159,84.82
160,160,84.31
161,161,85.68
162,162,85.78
163,163,85.52
164,164,85.9
165,165,86.0
166,166,86.03
167,167,84.66
168,168,84.78
169,169,81.51
170,170,84.55
171,171,84.63
172,172,80.59
173,173,82.56
174,174,85.05
175,175,84.86
176,176,85.05
177,177,85.0
178,178,84.87
179,179,80.26
180,180,81.74
181,181,85.1349999999999
182,182,85.59
183,183,83.2
184,184,83.47
185,185,85.83
186,186,84.18
187,187,84.9
188,188,83.94
189,189,84.53
190,190,84.68
191,191,83.61
192,192,83.785
193,193,82.68
194,194,82.95
195,195,83.44
196,196,83.06
197,197,82.68
198,198,82.67
199,199,83.52
200,200,83.33666666666666
201,201,83.15333333333332
202,202,82.97
203,203,84.62
204,204,83.57
205,205,81.25
206,206,64.87
207,207,87.36
208,208,87.35
209,209,87.17
210,210,86.29
211,211,86.47
212,212,86.16
213,213,85.845
214,214,85.82
215,215,87.56
216,216,91.62
217,217,91.21
218,218,91.76
219,219,91.085
220,220,92.88
221,221,92.8249999999999
222,222,92.05
223,223,91.67
224,224,93.315
225,225,94.56
226,226,93.33
227,227,92.03
228,228,92.48
229,229,92.42
230,230,92.38
231,231,92.77
232,232,92.435
233,233,85.765
234,234,85.5749999999999
235,235,86.24
236,236,85.73
237,237,85.61
238,238,85.1349999999999
239,239,86.25
240,240,86.905
241,241,87.09
242,242,86.64
243,243,86.65
244,244,86.55
245,245,86.78
246,246,87.22
247,247,86.8549999999999
248,248,87.69
249,249,87.88
250,250,86.985
251,251,87.9799999999999
252,252,88.525
253,253,88.68
254,254,88.3
255,255,89.03
256,256,90.06
257,257,88.15
258,258,87.84
259,259,87.28
260,260,87.305
261,261,87.435
262,262,87.1
263,263,93.7
264,264,93.51
265,265,93.49
266,266,94.29
267,267,94.125
268,268,95.06
269,269,97.62
270,270,95.04
271,271,95.2
272,272,95.11
273,273,102.0
274,274,101.45
275,275,101.67
276,276,100.97
277,277,101.94
278,278,102.285
279,279,102.81
280,280,89.2
281,281,89.71
282,282,89.65
283,283,89.74
284,284,88.785
285,285,88.99
286,286,90.58
287,287,92.05
288,288,91.19
289,289,90.0
290,290,89.65
291,291,89.65
292,292,87.71
293,293,87.05
294,294,86.29
295,295,86.14
296,296,87.36
297,297,87.09333333333332
298,298,86.82666666666667
299,299,86.56
300,300,86.395
301,301,86.1349999999999
302,302,85.56
303,303,86.365
304,304,85.99875
305,305,85.6325
306,306,85.26625
307,307,84.9
308,308,84.5749999999999
309,309,83.6
310,310,82.78
311,311,81.88
312,312,81.87
313,313,84.03
314,314,84.14
315,315,85.46
316,316,85.19
317,317,84.78
318,318,84.95
319,319,83.48
320,320,83.4
321,321,83.3
322,322,83.58
323,323,83.44
324,324,83.025
325,325,82.52333333333333
326,326,82.02166666666666
327,327,81.52
328,328,81.78
329,329,81.17
330,330,82.67
331,331,82.28
332,332,78.99
333,333,79.91
334,334,79.31
335,335,79.24
336,336,78.31
337,337,78.45
338,338,78.24
339,339,77.66
340,340,76.3
341,341,99.99
342,342,82.95
343,343,76.05
344,344,79.25
345,345,136.26
346,346,76.58
347,347,124.24
348,348,160.34
349,349,75.62
350,350,75.46
351,351,75.54
352,352,74.63
353,353,73.375
354,354,72.57
355,355,70.84
356,356,67.86
357,357,70.07
358,358,72.22
359,359,72.11
360,360,69.79
361,361,68.67
362,362,68.39
363,363,68.49
364,364,67.88
365,365,68.04
366,366,67.6
367,367,69.59
368,368,70.04
369,369,70.71
370,370,69.91
371,371,69.56
372,372,69.02
373,373,69.49
374,374,68.97
375,375,70.16
376,376,68.18
377,377,67.55
378,378,67.02
379,379,66.89
380,380,67.125
381,381,71.695
382,382,71.71
383,383,73.305
384,384,70.36
385,385,68.66
386,386,67.57
387,387,67.4
388,388,88.17
389,389,87.17
390,390,86.93
391,391,83.82
392,392,85.0399999999999
393,393,73.91
394,394,86.735
395,395,85.685
396,396,85.38
397,397,87.765
398,398,83.96
399,399,81.795
400,400,83.13
401,401,84.5449999999999
402,402,80.56
403,403,84.37
404,404,86.27
405,405,83.685
406,406,80.18
407,407,80.88
408,408,77.18
409,409,80.63
410,410,82.47
411,411,82.57
412,412,84.13
413,413,86.52
414,414,86.4
415,415,88.85
416,416,89.96
417,417,87.54
418,418,86.31
419,419,85.15
420,420,85.49
421,421,85.19
422,422,86.21
423,423,86.67
424,424,87.67
425,425,85.03
426,426,85.99
427,427,87.65
428,428,87.5
429,429,85.74
430,430,56.04
431,431,61.685
432,432,87.94
433,433,86.95
434,434,87.39
435,435,83.55
436,436,83.66
437,437,85.18
438,438,86.94
439,439,86.6049999999999
440,440,88.45
441,441,86.605
442,442,84.76
443,443,84.85666666666667
444,444,84.95333333333333
445,445,85.05
446,446,84.84
447,447,84.58333333333333
448,448,84.32666666666667
449,449,84.07
450,450,85.13
451,451,86.19
452,452,87.25
453,453,86.48
454,454,87.15
455,455,85.97
456,456,86.23
457,457,86.57
458,458,88.72
459,459,88.03
460,460,89.65
461,461,88.85666666666667
462,462,88.06333333333333
463,463,87.27
464,464,91.68
465,465,92.03
466,466,91.315
467,467,80.1049999999999
468,468,87.52
469,469,91.88
470,470,91.19
471,471,90.83
472,472,86.935
473,473,90.38
474,474,86.89
475,475,88.585
476,476,87.99
477,477,87.76
478,478,87.56
479,479,86.75
480,480,87.12
481,481,87.0
482,482,88.05
483,483,89.145
484,484,92.22
485,485,85.11
486,486,89.295
487,487,89.58
488,488,89.205
489,489,86.07
490,490,87.73
491,491,86.11
492,492,87.5749999999999
493,493,89.06
494,494,89.04
495,495,88.54
496,496,88.32
497,497,87.23
498,498,87.46
499,499,87.32
500,500,87.56
501,501,87.69
502,502,87.19666666666666
503,503,86.70333333333333
504,504,86.21
505,505,86.25
506,506,88.02
507,507,86.05
508,508,85.755
509,509,87.14
510,510,85.05
511,511,85.005
512,512,85.15
513,513,86.1649999999999
514,514,82.03
515,515,84.73
516,516,87.34
517,517,89.44
518,518,91.79
519,519,87.55
520,520,91.6349999999999
521,521,76.2
522,522,87.32
523,523,85.74
524,524,65.47
525,525,86.785
526,526,81.42
527,527,84.1
528,528,85.3249999999999
529,529,83.96
530,530,82.87
531,531,84.7
532,532,85.16
533,533,85.24
534,534,85.0
535,535,85.3
536,536,85.5
537,537,85.76
538,538,85.71
539,539,85.655
540,540,85.33
541,541,85.89
542,542,85.78
543,543,86.32
544,544,80.525
545,545,79.79
546,546,79.5
547,547,79.57
548,548,78.3849999999999
549,549,78.47
550,550,78.89
551,551,81.14
552,552,82.33
553,553,82.515
554,554,77.795
555,555,79.0749999999999
556,556,82.76
557,557,82.15
558,558,82.57
559,559,82.8549999999999
560,560,82.43
561,561,82.27
562,562,82.3
563,563,79.97
564,564,77.765
565,565,78.5
566,566,79.235
567,567,79.97
568,568,82.99
569,569,81.38
570,570,80.98
571,571,83.91
572,572,86.36
573,573,83.62
574,574,85.08
575,575,85.18
576,576,84.28
577,577,82.6649999999999
578,578,85.99
579,579,83.28
580,580,86.69
581,581,82.25
582,582,76.67
583,583,71.11
584,584,84.05
585,585,83.32
586,586,81.08
587,587,84.13
588,588,83.05
589,589,83.63
590,590,82.29
591,591,81.85
592,592,82.83
593,593,81.58
594,594,80.64
595,595,79.155
596,596,86.85
597,597,68.08
598,598,66.11
599,599,65.44
600,600,56.1
601,601,54.08
602,602,50.66
603,603,59.7399999999999
604,604,60.61
605,605,54.7099999999999
606,606,58.85
607,607,57.565
608,608,57.22
609,609,61.73
610,610,55.59
611,611,55.415
612,612,56.4
613,613,59.475
614,614,52.9
615,615,57.665
616,616,60.205
617,617,56.36
618,618,58.3
619,619,61.05
620,620,55.135
621,621,55.708333333333336
622,622,56.281666666666666
623,623,56.855
624,624,57.47
625,625,59.5125
626,626,61.555
627,627,53.89
628,628,55.30666666666667
629,629,56.723333333333336
630,630,58.14
631,631,54.57
632,632,62.26
633,633,60.84
634,634,61.51
635,635,58.15
636,636,57.835
637,637,57.665
638,638,59.46
639,639,55.94
640,640,56.9
641,641,58.33
642,642,55.525
643,643,55.86
644,644,58.175
645,645,52.6
646,646,55.91
647,647,59.35
648,648,59.845
649,649,55.65
650,650,59.88
651,651,60.4
652,652,62.765
653,653,64.17
654,654,64.7899999999999
655,655,64.1649999999999
656,656,63.57
657,657,66.64
658,658,63.0
659,659,57.46
660,660,51.92
661,661,92.33
662,662,116.31
663,663,121.095
664,664,118.83
665,665,116.565
666,666,118.6275
667,667,120.69
668,668,96.46
669,669,99.16
670,670,100.48
671,671,99.12
672,672,97.41
673,673,95.97
674,674,95.12
675,675,93.34
676,676,91.81
677,677,93.175
678,678,90.26
679,679,90.68
680,680,87.53
681,681,88.85
682,682,88.79
683,683,90.32
684,684,97.25
685,685,99.6
686,686,100.48
687,687,99.48
688,688,79.5749999999999
689,689,102.43
690,690,101.54
691,691,100.65
692,692,99.76
693,693,98.87
694,694,100.215
695,695,124.71
696,696,97.44
697,697,96.01333333333332
698,698,94.58666666666666
699,699,93.16
700,700,95.33
701,701,94.49
702,702,92.81
703,703,90.97
704,704,77.42333333333333
705,705,63.876666666666665
706,706,50.33
707,707,91.7
708,708,92.81
709,709,109.66
710,710,93.69
711,711,116.3
712,712,103.55
713,713,90.8
714,714,196.495
715,715,107.06
716,716,188.9
717,717,96.37
718,718,145.61
719,719,194.85
720,720,100.31
721,721,101.1
722,722,99.955
723,723,96.72
724,724,101.555
725,725,54.11
726,726,60.32
727,727,52.87
728,728,53.1
729,729,96.3
730,730,97.78
731,731,99.81
732,732,100.25
733,733,99.9
734,734,99.14
735,735,96.2
736,736,94.38
737,737,93.23
738,738,91.89
739,739,91.735
740,740,92.89
741,741,94.97
742,742,147.855
743,743,91.76
744,744,92.725
745,745,104.37
746,746,94.59
747,747,90.1649999999999
748,748,94.44
749,749,94.63
750,750,94.89
751,751,94.47
752,752,92.955
753,753,94.03
754,754,94.78
755,755,75.96
756,756,88.405
757,757,88.75
758,758,90.75
759,759,89.43
760,760,91.775
761,761,89.83
762,762,93.145
763,763,97.35
764,764,98.52
765,765,97.31
766,766,99.86
767,767,98.88
768,768,95.035
769,769,94.21
770,770,92.8
771,771,93.72
772,772,90.93
773,773,91.71
774,774,89.28
775,775,87.93
776,776,91.735
777,777,83.555
778,778,83.62
779,779,86.33
780,780,90.86
781,781,90.16
782,782,90.25
783,783,91.03
784,784,93.38
785,785,93.49
786,786,91.31
787,787,88.245
788,788,89.35
789,789,88.62
790,790,89.63
791,791,87.97
792,792,79.11
793,793,87.64
794,794,86.91
795,795,86.44
796,796,84.53
797,797,86.17
798,798,86.96
799,799,86.05
800,800,86.37
801,801,88.18
802,802,94.95
803,803,90.68
804,804,90.84
805,805,90.69
806,806,95.58
807,807,102.414999999999
808,808,107.305
809,809,108.65
810,810,110.745
811,811,111.03
812,812,111.95
813,813,106.515
814,814,100.92
815,815,96.94
816,816,91.38
817,817,89.98
818,818,88.22
819,819,89.67
820,820,89.8
821,821,89.45
822,822,127.28
823,823,138.08
824,824,135.415
825,825,146.41
826,826,158.98
827,827,154.985
828,828,185.12
829,829,200.84
830,830,187.43
831,831,170.63
832,832,141.72
833,833,137.70999999999998
834,834,133.7
835,835,126.7
836,836,129.66
837,837,125.92
838,838,123.58
839,839,108.56
840,840,103.384999999999
841,841,110.96
842,842,110.695
843,843,120.12
844,844,130.39
845,845,129.4
846,846,114.23
847,847,148.47
848,848,154.24
849,849,152.39
850,850,151.87
851,851,151.29
852,852,143.93
853,853,132.09
854,854,123.175
855,855,126.81
856,856,137.71
857,857,126.695
858,858,125.71
859,859,127.49
860,860,126.52
861,861,118.74
862,862,122.58
863,863,114.88
864,864,118.414999999999
865,865,122.015
866,866,126.16
867,867,130.87
868,868,133.37
869,869,126.68
870,870,123.03
871,871,121.3
872,872,121.42
873,873,122.25
874,874,125.09
875,875,127.93
876,876,125.3
877,877,125.29
878,878,120.68
879,879,124.68
880,880,119.75
881,881,122.78
882,882,120.995
883,883,120.84
884,884,116.8
885,885,121.07
886,886,118.634999999999
887,887,116.25
888,888,117.83
889,889,184.555
890,890,113.49
891,891,113.384999999999
892,892,111.87
893,893,111.44
894,894,105.81
895,895,104.28
896,896,104.38
897,897,104.93
898,898,105.555
899,899,103.82
900,900,103.2
901,901,100.025
902,902,96.09
903,903,234.9
904,904,97.97
905,905,98.99
906,906,96.27
907,907,94.12
908,908,95.7
909,909,99.03
910,910,105.69
911,911,116.71
912,912,124.2
913,913,126.26
914,914,119.914999999999
915,915,123.69
916,916,119.76
917,917,117.085
918,918,114.26
919,919,114.35
920,920,110.17
921,921,106.65
922,922,105.02
923,923,100.33
924,924,101.08
925,925,98.49
926,926,99.985
927,927,103.26
928,928,109.88
929,929,116.095
930,930,115.75
931,931,114.59
932,932,110.86
933,933,110.27
934,934,118.93
935,935,108.56
936,936,132.01
937,937,134.01
938,938,131.31
939,939,63.93
940,940,64.93
941,941,122.54
942,942,123.51
943,943,124.5
944,944,125.22
945,945,127.53
946,946,127.19
947,947,126.895
948,948,126.6
949,949,125.75
950,950,117.69
951,951,110.13
952,952,112.81
953,953,116.83833333333332
954,954,120.86666666666667
955,955,124.895
956,956,128.315
957,957,127.33
958,958,126.64
959,959,129.18
960,960,125.2
961,961,128.96
962,962,128.905
963,963,121.51
964,964,116.98
965,965,117.3
966,966,114.45
967,967,112.32
968,968,107.02
969,969,104.66
970,970,97.95
971,971,87.05
972,972,90.08
973,973,97.9149999999999
974,974,87.99
975,975,95.105
976,976,92.65
977,977,91.38
978,978,92.5399999999999
979,979,79.565
980,980,64.21
981,981,96.47
982,982,95.89
983,983,89.08
984,984,96.49
985,985,83.64
986,986,80.215
987,987,91.47
988,988,83.21
989,989,92.25
990,990,95.16
991,991,95.5449999999999
992,992,94.46
993,993,94.34
994,994,94.79
995,995,96.705
996,996,60.01
997,997,95.79
998,998,93.035
999,999,95.09
1000,1000,98.88
1001,1001,99.79
1002,1002,103.72
1003,1003,85.765
1004,1004,112.824999999999
1005,1005,120.89
1006,1006,128.88
1007,1007,123.52
1008,1008,123.9
1009,1009,126.414999999999
1010,1010,121.65
1011,1011,116.67
1012,1012,116.0
1013,1013,116.104999999999
1014,1014,109.37
1015,1015,104.09
1016,1016,98.59
1017,1017,98.85
1018,1018,101.08
1019,1019,100.505
1020,1020,99.66
1021,1021,99.065
1022,1022,99.54
1023,1023,101.555
1024,1024,102.84
1025,1025,99.21
1026,1026,101.74
1027,1027,102.39
1028,1028,67.17
1029,1029,105.664999999999
1030,1030,107.08
1031,1031,100.875
1032,1032,69.84
1033,1033,97.16
1034,1034,96.67
1035,1035,98.02
1036,1036,95.54
1037,1037,93.14
1038,1038,89.93
1039,1039,90.38
1040,1040,90.765
1041,1041,90.88
1042,1042,92.91
1043,1043,93.8
1044,1044,63.845
1045,1045,95.98
1046,1046,98.08
1047,1047,101.11
1048,1048,108.07
1049,1049,113.625
1050,1050,78.18
1051,1051,95.485
1052,1052,106.46
1053,1053,128.6
1054,1054,81.02
1055,1055,118.24
1056,1056,114.7
1057,1057,107.25
1058,1058,109.16
1059,1059,108.13
1060,1060,108.61
1061,1061,69.16
1062,1062,67.71
1063,1063,70.79
1064,1064,110.89
1065,1065,115.645
1066,1066,114.24
1067,1067,116.86
1068,1068,115.91
1069,1069,115.78
1070,1070,119.71
1071,1071,124.185
1072,1072,125.22
1073,1073,122.65
1074,1074,116.74
1075,1075,121.97
1076,1076,119.97
1077,1077,131.43
1078,1078,121.24
1079,1079,123.81
1080,1080,123.1
1081,1081,125.02
1082,1082,126.94
1083,1083,128.06
1084,1084,122.52
1085,1085,120.99
1086,1086,121.11
1087,1087,124.07
1088,1088,129.39
1089,1089,130.67
1090,1090,132.33
1091,1091,86.95
1092,1092,82.8849999999999
1093,1093,130.32
1094,1094,121.9
1095,1095,117.39
1096,1096,67.61
1097,1097,104.75
1098,1098,99.46
1099,1099,94.29
1100,1100,92.32
1101,1101,93.54
1102,1102,98.14
1103,1103,103.99
1104,1104,111.36
1105,1105,71.2
1106,1106,109.18
1107,1107,121.12
1108,1108,127.67
1109,1109,131.48
1110,1110,138.415
1111,1111,136.52
1112,1112,113.75
1113,1113,146.48
1114,1114,153.64
1115,1115,160.8
1116,1116,160.72
1117,1117,153.68
1118,1118,96.76
1119,1119,85.61
1120,1120,143.09
1121,1121,132.954999999999
1122,1122,135.11
1123,1123,81.1049999999999
1124,1124,74.715
1125,1125,96.58
1126,1126,118.445
1127,1127,116.89
1128,1128,148.334999999999
1129,1129,139.71
1130,1130,111.86
1131,1131,97.4799999999999
1132,1132,98.43
1133,1133,99.16
1134,1134,85.84
1135,1135,100.39
1136,1136,100.04
1137,1137,100.84
1138,1138,104.22
1139,1139,91.85
1140,1140,124.81
1141,1141,117.09
1142,1142,103.84
1143,1143,125.59
1144,1144,123.81
1145,1145,123.56
1146,1146,127.95
1147,1147,120.324999999999
1148,1148,113.63
1149,1149,106.66
1150,1150,108.21
1151,1151,105.875
1152,1152,104.12
1153,1153,100.06
1154,1154,97.45
1155,1155,98.83
1156,1156,99.195
1157,1157,98.515
1158,1158,97.23
1159,1159,92.91
1160,1160,95.34
1161,1161,96.975
1162,1162,103.95
1163,1163,106.955
1164,1164,109.28
1165,1165,107.675
1166,1166,106.07
1167,1167,110.025
1168,1168,124.805
1169,1169,128.98
1170,1170,132.3
1171,1171,127.34
1172,1172,121.32
1173,1173,124.9
1174,1174,112.755
1175,1175,114.445
1176,1176,119.08
1177,1177,117.245
1178,1178,105.735
1179,1179,101.854999999999
1180,1180,97.51
1181,1181,100.57
1182,1182,95.11
1183,1183,94.81
1184,1184,91.89
1185,1185,86.595
1186,1186,96.4
1187,1187,92.39
1188,1188,99.755
1189,1189,101.08
1190,1190,104.48
1191,1191,104.76
1192,1192,116.51
1193,1193,118.81
1194,1194,116.92
1195,1195,115.96
1196,1196,114.6
1197,1197,119.085
1198,1198,111.58
1199,1199,119.095
1200,1200,112.86
1201,1201,102.93
1202,1202,104.47
1203,1203,100.96
1204,1204,97.76
1205,1205,96.46
1206,1206,96.48
1207,1207,99.33
1208,1208,105.645
1209,1209,105.4
1210,1210,108.43
1211,1211,109.7
1212,1212,114.86
1213,1213,123.46
1214,1214,127.355
1215,1215,126.15
1216,1216,128.72
1217,1217,139.29
1218,1218,133.0
1219,1219,132.82
1220,1220,135.76
1221,1221,134.34
1222,1222,129.5
1223,1223,128.44
1224,1224,124.52
1225,1225,118.46
1226,1226,108.37
1227,1227,109.64
1228,1228,108.01
1229,1229,110.38
1230,1230,101.16
1231,1231,103.73
1232,1232,100.39
1233,1233,97.59
1234,1234,104.09
1235,1235,101.574999999999
1236,1236,103.505
1237,1237,104.95
1238,1238,107.3
1239,1239,110.84
1240,1240,116.24
1241,1241,129.07
1242,1242,128.96
1243,1243,134.11
1244,1244,129.435
1245,1245,131.4
1246,1246,129.085
1247,1247,123.17
1248,1248,122.945
1249,1249,123.2775
1250,1250,123.61
1251,1251,120.56
1252,1252,122.42
1253,1253,116.685
1254,1254,115.67
1255,1255,115.52
1256,1256,114.56
1257,1257,104.19
1258,1258,108.1
1259,1259,109.71
1260,1260,98.79
1261,1261,97.12
1262,1262,99.92
1263,1263,97.595
1264,1264,98.24
1265,1265,81.775
1266,1266,93.65
1267,1267,94.09
1268,1268,98.36
1269,1269,98.155
1270,1270,100.65
1271,1271,106.01
1272,1272,110.15
1273,1273,112.52
1274,1274,118.12
1275,1275,117.79
1276,1276,119.205
1277,1277,115.44
1278,1278,112.9
1279,1279,110.49
1280,1280,110.98
1281,1281,110.9
1282,1282,114.57
1283,1283,108.78
1284,1284,109.87
1285,1285,107.185
1286,1286,106.16
1287,1287,104.98
1288,1288,104.835
1289,1289,100.655
1290,1290,106.18
1291,1291,108.0
1292,1292,110.32
1293,1293,111.19
1294,1294,118.96
1295,1295,126.27
1296,1296,126.53
1297,1297,126.51
1298,1298,133.79
1299,1299,132.18
1300,1300,136.695
1301,1301,136.88
1302,1302,144.23
1303,1303,136.83
1304,1304,133.38
1305,1305,125.11
1306,1306,119.074999999999
1307,1307,112.46
1308,1308,107.67
1309,1309,104.15
1310,1310,99.15
1311,1311,96.71
1312,1312,102.18
1313,1313,100.655
1314,1314,96.85
1315,1315,77.01
1316,1316,90.41
1317,1317,91.475
1318,1318,93.48
1319,1319,94.17
1320,1320,93.21
1321,1321,94.985
1322,1322,98.0
1323,1323,100.95
1324,1324,99.1
1325,1325,102.35
1326,1326,97.91
1327,1327,89.69
1328,1328,93.52
1329,1329,92.59
1330,1330,94.455
1331,1331,97.56
1332,1332,96.12
1333,1333,97.22
1334,1334,97.07
1335,1335,93.9
1336,1336,93.745
1337,1337,93.75
1338,1338,98.36
1339,1339,96.88
1340,1340,98.39
1341,1341,101.995
1342,1342,103.11
